file,caption,category,png_time,StartTime,label,altcaption,loc
bio1_sizeatage.png,Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio1_sizeatage,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio2_sizeatage_plus_CV_and_SD.png,Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio2_sizeatage_plus_CV_and_SD,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio3_sizeatage_plus_WT_and_MAT.png,Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio3_sizeatage_plus_WT_and_MAT,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio1B_len_at_age_matrix_1.png,Distribution of length at age for seas: 1 sub_seas: 1 morph: 1,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio1B_len_at_age_matrix_1,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio1B_len_at_age_matrix_2.png,Distribution of length at age for seas: 1 sub_seas: 1 morph: 2,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio1B_len_at_age_matrix_2,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio1B_len_at_age_matrix_3.png,Distribution of length at age for seas: 1 sub_seas: 2 morph: 1,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio1B_len_at_age_matrix_3,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio1B_len_at_age_matrix_4.png,Distribution of length at age for seas: 1 sub_seas: 2 morph: 2,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio1B_len_at_age_matrix_4,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio5_weightatsize.png,Weight-length relationship,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio5_weightatsize,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio6_maturity.png,Maturity at length,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio6_maturity,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio8_fecundity_wt.png,Fecundity as a function of weight,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio8_fecundity_wt,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio9_fecundity_len.png,Fecundity as a function of length,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio9_fecundity_len,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio10_spawningoutput_len.png,"Spawning output at length. This is the product of maturity and fecundity unless maturity is age-based, in which case only fecundity is represented.",Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio10_spawningoutput_len,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
bio11_spawningoutput_age.png,Spawning output at age. This is the product of maturity and fecundity. When these processes are length-based they are converted into the age dimension using the matrix of length at age.,Bio,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,bio11_spawningoutput_age,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
sel01_multiple_fleets_length1.png,Selectivity at length for multiple fleets.,Sel,6/8/2021 21:54,StartTime: Tue Jun 08 21:41:10 2021,sel01_multiple_fleets_length1,NA,C:/Users/Jason.Cope/Documents/Github/Vermilion rockfish OR WA assessment 2021/OR/write_up/models/Reference Model/plots
